Objetivo,Accuracy,Precision,Recall,F1-score,Tiempo entrenamiento (s),Mejores parámetros
Genetic Disorder,0.5044589057604242,0.25447878760100456,0.5044589057604242,0.3382994199796757,40.20017981529236,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
Disorder Subclass,0.27886237647625933,0.077764225013987,0.27886237647625933,0.12161468887411687,28.723254680633545,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
Combined_disorder,0.27886237647625933,0.077764225013987,0.27886237647625933,0.12161468887411687,28.00696897506714,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
