Objetivo,Accuracy,Precision,Recall,F1-score,Tiempo entrenamiento (s),Mejores parámetros
Genetic Disorder,0.6073752711496746,0.6047577577610002,0.6073752711496746,0.5849056514326111,4.157543659210205,{'var_smoothing': 1e-09}
Disorder Subclass,0.4866232827187274,0.4923918500067517,0.4866232827187274,0.4753629113540476,0.29386019706726074,{'var_smoothing': 1e-09}
Combined_disorder,0.4866232827187274,0.49239185000675173,0.4866232827187274,0.4753629113540476,0.2892594337463379,{'var_smoothing': 1e-09}
